/;AST;XL;S04;FNC;G2;MAD;MSF;RGE;SK;VIT
/;(0,1,30.1);(1,0,12.2);(0,1,5.2);(0,1,19.2);(1,0,14.3);(0,1,5.3);(0,1,27.2);(0,1,22.1);(1,0,24.1)
(0,1,20.2);/;(0,1,14.3);(0,1,5.3);(0,1,24.1);(0,1,19.2);(0,1,26.2);(1,0,13.3);(1,0,6.2);(1,0,12.2)
(1,0,6.3);(0,1,23.1);/;(1,0,12.3);(1,0,30.1);(0,1,13.2);(0,1,27.2);(1,0,5.2);(0,1,19.2);(1,0,13.3)
(1,0,26.2);(1,0,13.2);(1,0,24.1);/;(1,0,6.2);(0,1,20.2);(0,1,13.3);(0,1,23.1);(1,0,6.3);(1,0,29.1)
(1,0,29.1);(0,1,12.3);(1,0,20.2);(1,0,27.2);/;(1,0,21.1);(1,0,6.3);(1,0,5.3);(1,0,14.3);(1,0,5.2)
(1,0,23.1);(1,0, 29.1);(1,0,5.3);(1,0,30.1);(1,0,13.3);/;(0,1,12.3);(0,1,6.3);(0,1,26.2);(1,0,6.2)
(1,0,13.2);(0,1,5.2);(0,1,6.2);(1,0,22.1);(0,1,12.2);(1,0,24.1);/;(0,1,19.2);(0,1,20.2);(0,1,23.1)
(1,0,6.2);(1,0,22.1);(1,0,26.2);(1,0,14.3);(0,1,13.2);(1,0,12.2);(1,0,29.1);/;(1,0,24.1);(1,0,20.2)
(0,1,13.3);(1,0,27.2);(0,1,29.1);(0,1,12.2);(0,1,23.1);(1,0,5.2);(1,0,30.1);(0,1,12.3);/;(0,1,5.3)
(0,1,12.3);(1,0,6.3);(0,1,22.1);(1,0,19.2);(0,1,26.2);(0,1,27.2);(1,0,14.3);(0,1,30.1);(0,1,13.2);/
